num,n,m,solved,opt,upper,dels,adds,low_star,low_p3,time,branches,dist4+,n-clean,after all reds,forbs all reds,time all reds,spend all reds,lower after all reds,after force p3,forbs force p3,time force p3,spend force p3,lower after force p3,after force star,forbs force star,time force star,spend force star,lower after force star,after twin simple,forbs twin simple,time twin simple,spend twin simple,lower after twin simple,after twin complex,forbs twin complex,time twin complex,spend twin complex,lower after twin complex,after icx,forbs icx,time icx,spend icx,lower after icx,after heavy edge (b),forbs heavy edge (b),time heavy edge (b),spend heavy edge (b),lower after heavy edge (b),after heavy edge (s),forbs heavy edge (s),time heavy edge (s),spend heavy edge (s),lower after heavy edge (s),after heavy non-edge,forbs heavy non-edge,time heavy non-edge,spend heavy non-edge,lower after heavy non-edge,after forced single merge,forbs forced single merge,time forced single merge,spend forced single merge,lower after forced single merge
73,140,5137,1,1612,1612,1564,48,1612,1612,146,0,0,140,0,0,76,1612,1612,0,0,83,1612,1612,0,0,1139,1612,1612,139,0,7,0,1612,139,0,13,0,1612,140,0,17,0,1612,140,0,9,0,1612,140,0,10,0,1612,140,0,8,0,1612,0,0,40370,1612,1612
74,140,5550,1,995,995,853,142,995,995,117,0,0,140,0,0,50,995,995,0,0,55,995,995,0,0,1246,995,995,131,0,6,0,995,0,0,45,995,995,140,0,13,0,995,140,0,7,0,995,140,0,8,0,995,140,0,6,0,995,0,0,39017,995,995
75,144,1191,1,132,132,75,57,132,132,38,0,1863,84,0,0,8,132,132,0,0,7,132,132,0,0,89,132,132,36,363,2,0,132,0,0,4,132,132,84,1863,3,0,132,83,1785,1,0,132,84,1863,1,0,132,84,1863,0,0,132,0,0,800,132,132
76,144,2216,1,369,369,284,85,369,369,422,0,3388,113,0,0,15,369,369,0,0,16,369,369,0,0,193,369,369,73,1277,4,0,369,0,0,9,369,369,113,3388,7,0,369,109,2952,3,1,369,113,3388,4,0,369,113,3394,2,0,369,0,0,3986,369,369
77,144,3089,1,78,78,62,16,78,78,287,0,5048,131,0,0,15,78,78,0,0,18,78,78,0,0,307,78,78,40,577,8,0,78,0,0,25,78,78,131,5239,1708,2,78,131,5048,3,0,78,131,5048,7,0,78,131,5057,3,0,78,0,0,1932,78,78
78,144,6127,1,854,854,582,272,853,853,198,0,536,143,0,0,79,854,854,0,0,83,854,854,0,0,1656,854,854,118,356,10,0,854,7,7,44,849,854,143,536,20,0,853,143,536,10,0,853,143,536,12,0,853,143,536,9,0,853,0,0,46504,854,854
79,159,433,1,48,48,32,16,48,48,295,0,1316,60,0,0,7,48,48,3,0,1,47,48,3,0,6,47,48,39,565,0,0,48,0,0,1,48,48,60,1316,0,0,48,57,1145,0,1,48,57,1145,0,1,48,60,1353,0,0,48,3,0,119,47,48
80,159,1152,1,342,342,234,108,336,333,826,0,8165,142,0,0,79,342,342,100,3872,42,103,336,31,396,109,296,341,74,2185,5,0,339,16,24,8,167,340,142,8165,9,0,336,137,7480,2,2,338,142,8165,5,0,336,142,8189,1,0,336,103,4490,5711,105,326
81,159,3752,1,2042,2042,1740,302,2030,1781,31139,0,2351,159,0,0,29791,2042,2042,159,2351,232,0,2030,74,1380,19339,1577,2026,109,1130,16,0,2033,100,940,27,9,2035,159,2351,31,0,2030,159,2351,14,0,2030,159,2351,18,0,2030,159,2385,16,0,2030,109,1614,1367110,407,2034
82,160,4015,0,1000000000,2434,0,8705,2397,2006,3610262,33,98,160,160,98,69928,0,2397,160,98,148,0,2397,160,98,5629,0,2397,160,98,11,0,2397,160,98,14,0,2397,160,98,28,0,2397,160,98,14,0,2397,160,98,17,0,2397,160,98,14,0,2397,160,98,64410,0,2397
83,160,4259,0,1000000000,2939,0,8461,2808,2129,3602815,49,57,160,160,57,112781,0,2808,160,57,138,0,2808,160,57,9884,0,2808,160,57,13,0,2808,160,57,16,0,2808,160,57,32,0,2808,160,57,16,0,2808,160,57,18,0,2808,160,57,15,0,2808,160,57,100486,0,2808
84,160,4436,1,2249,2249,1919,330,2234,2150,156741,14,207,160,66,202,40790,1481,2232,160,207,345,0,2234,67,245,30344,1476,2230,160,207,10,0,2234,160,207,14,0,2234,160,207,27,0,2234,160,207,13,0,2234,160,207,16,0,2234,160,207,13,0,2234,158,207,116000,27,2233
85,160,5705,1,1047,1047,992,55,1046,1047,159,0,281,160,0,0,82,1047,1047,3,1,89,995,1047,3,1,1981,995,1047,148,135,9,0,1046,107,13,46,181,1045,160,281,19,0,1046,160,281,9,0,1046,160,281,12,0,1046,160,281,9,0,1046,32,4,58217,893,1037
86,160,6348,1,2838,2838,1853,985,2837,2833,339,0,28,160,0,0,216,2838,2838,0,0,227,2838,2838,0,0,3341,2838,2838,160,28,11,0,2837,159,26,20,1,2837,160,28,27,0,2837,160,28,15,0,2837,160,28,17,0,2837,160,28,13,0,2837,0,0,225802,2838,2838
87,160,9200,1,3243,3243,1210,2033,3229,3218,1357,0,0,160,0,0,1216,3243,3243,69,2,318,1367,2937,0,0,4336,3243,3243,160,0,11,0,3229,158,0,30,2,3235,160,0,27,0,3229,160,0,16,0,3229,160,0,17,0,3229,160,0,12,0,3229,0,0,973683,3243,3243
88,171,936,1,198,198,148,50,198,193,816,0,7692,137,0,0,43,198,198,59,1213,17,105,198,15,91,64,193,198,90,3238,4,0,198,29,124,7,118,198,137,7692,7,0,198,130,6803,2,3,198,130,6803,13,3,198,137,7754,1,0,198,23,209,3138,184,198
89,171,1623,1,534,534,345,189,533,528,912,0,9507,171,0,0,109,534,534,5,4,119,532,534,5,4,296,532,534,146,6716,11,0,534,65,1093,33,297,534,171,9507,22,0,533,169,9177,9,1,533,169,9177,18,1,533,171,9563,10,0,533,5,2,19760,532,534
90,171,4211,1,2104,2104,1666,438,2093,2011,7886,0,1414,171,0,0,7045,2104,2104,171,1414,360,0,2093,7,14,6658,2089,2103,160,1288,17,0,2096,156,1246,30,5,2095,171,1414,39,0,2093,171,1414,18,0,2093,171,1414,24,0,2093,171,1414,18,0,2093,51,294,416762,1853,2101
91,180,4602,0,1000000000,3234,0,11508,3072,2300,3621330,30,159,180,180,159,144881,0,3072,180,159,118,0,3072,180,159,12340,0,3072,180,159,16,0,3072,180,159,20,0,3072,180,159,41,0,3072,180,159,20,0,3072,180,159,24,0,3072,180,159,20,0,3072,180,159,129339,0,3072
92,180,6067,0,1000000000,3563,0,10043,3520,3031,3616617,2,9,180,179,9,260783,12,3518,180,9,240,0,3520,180,9,10464,0,3520,180,9,17,0,3520,180,9,22,0,3520,180,9,43,0,3520,180,9,22,0,3520,180,9,25,0,3520,180,9,20,0,3520,179,9,239574,12,3518
93,180,6502,1,3842,3842,3377,465,3830,3250,284025,0,6,180,0,0,283962,3842,3842,180,6,218,0,3830,180,90,18787,1,3824,180,6,18,0,3830,180,6,23,0,3830,180,6,44,0,3830,180,6,23,0,3830,180,6,25,0,3830,180,6,21,0,3830,133,6,1226390,1947,3837
94,180,6894,1,2763,2763,1934,829,2757,2754,491,0,9,180,0,0,328,2763,2763,9,6,340,2752,2762,8,9,3595,2755,2762,180,9,15,0,2757,180,9,20,0,2757,180,9,37,0,2757,180,9,19,0,2757,180,9,22,0,2757,180,9,18,0,2757,11,3,370653,2732,2762
95,180,7945,1,358,358,170,188,358,358,149,0,2698,180,0,0,53,358,358,0,0,61,358,358,0,0,2153,358,358,118,593,14,0,358,0,0,108,358,358,180,2698,21,0,358,180,2698,9,0,358,180,2698,15,0,358,180,2698,9,0,358,0,0,23145,358,358
96,180,9833,1,3506,3506,2184,1322,3503,3504,573,0,3,180,0,0,405,3506,3506,0,0,422,3506,3506,0,0,4040,3506,3506,180,3,17,0,3503,180,3,25,0,3503,180,3,41,0,3503,180,3,24,0,3503,180,3,24,0,3503,180,3,19,0,3503,76,2,610862,2832,3484
