Graph,n,m,k,Total Time [s],Solved,First bound,Time first bound [s]
exact139.gr,233,17300,5514,832.905,True,5490,0.118088
exact141.gr,251,1450,682,2020.74,False,616,0.00235699
exact143.gr,251,3813,1475,37.7496,True,1442,0.00873853
exact145.gr,251,6574,1761,4.74195,True,1760,0.0194353
exact147.gr,251,11421,3975,59.1571,True,3964,0.0777871
exact149.gr,251,22395,5807,134.117,True,5805,0.0932444
exact151.gr,251,29867,1258,18.1635,True,1258,0.0382258
exact153.gr,251,31119,6,0.00187804,True,6,0.0011356
exact155.gr,264,1295,63,0.00683694,True,63,0.00045472
exact157.gr,264,3422,1117,5.55886,True,1101,0.00828525
exact159.gr,264,20837,1483,14.1191,True,1483,0.0525812
exact161.gr,280,2000,333,0.611097,True,326,0.00246949
exact163.gr,280,5825,1538,4.32029,True,1536,0.011103
exact165.gr,280,24777,6094,210.722,True,6094,0.0804089
exact167.gr,301,14191,7235,2098.21,False,7095,0.0182676
exact169.gr,301,15456,7864,2038.29,False,7728,0.0177978
exact171.gr,301,25919,2901,112.261,True,2901,0.107213
exact173.gr,313,1764,100,0.0219329,True,99,0.000505307
exact175.gr,313,3516,557,0.845798,True,555,0.00338228
exact177.gr,314,14634,4089,281.737,True,4073,0.176393
exact179.gr,331,1370,620,2044.88,False,591,0.00283122
exact181.gr,331,3253,1445,2487.5,False,1406,0.00935274
exact183.gr,331,5613,2609,2269.93,False,2542,0.0247799
exact185.gr,347,1456,203,0.083661,True,200,0.000993147
exact187.gr,348,7500,3654,2139.85,False,3542,0.0268053
exact189.gr,348,31752,8563,2294.79,True,8549,0.380087
exact191.gr,401,31201,15757,2046.44,False,15600,0.0681567
exact193.gr,401,42153,20403,2068.1,False,20343,0.803665
exact195.gr,621,3992,2068,2009.97,False,1990,0.010724
exact197.gr,621,35188,14841,2071.36,False,14697,0.479717
